Sample	nreads	median_genes	median_umi	File	Kit	Individual	Replicate	Sensitivity
GEMX3P_F1B	1000	380	532	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	5000	1223	2360	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	7500	1559	3302	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	10000	1824	4135	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	0	0	0	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	22500	2606	7145	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	25000	2703	7584	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	17500	2366	6130	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	20000	2495	6663	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	12500	2039	4876	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F1B	15000	2216	5539	GEMX_F1B	GEMX3P	F1	B	NA
GEMX3P_F5A	10000	1857	4200	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	2500	771	1277	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	5000	1235	2374	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	12500	2080	4970	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	1000	381	531	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	25000	2782	7851	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	15000	2267	5664	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	7500	1582	3338	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	0	0	0	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	20000	2560	6859	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	22500	2678	7376	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5A	17500	2426	6292	GEMX_F5A	GEMX3P	F5	A	NA
GEMX3P_F5B	2500	766	1255	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	20000	2543	6695	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	1000	378	522	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	12500	2066	4862	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	5000	1229	2330	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	7500	1573	3275	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	10000	1844	4111	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	22500	2660	7196	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	15000	2252	5533	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	17500	2409	6144	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	0	0	0	GEMX_F5B	GEMX3P	F5	B	NA
GEMX3P_F5B	25000	2762	7658	GEMX_F5B	GEMX3P	F5	B	NA
NextGEM3P_F1A	5000	1115	2401	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	12500	1748	4411	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	15000	1872	4857	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	7500	1387	3215	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	10000	1592	3870	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	1000	378	596	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	2500	731	1380	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	0	0	0	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	17500	1973	5233	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	20000	2057	5550	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	22500	2128	5822	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1A	25000	2188	6055	NextGEM_F1A	NextGEM3P	F1	A	NA
NextGEM3P_F1B	12500	1638	4133	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	15000	1748	4516	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	17500	1837	4839	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	10000	1496	3661	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	1000	366	590	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	2500	701	1352	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	5000	1061	2319	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	7500	1312	3071	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	20000	1910	5106	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	0	0	0	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	22500	1970	5331	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F1B	25000	NA	NA	NextGEM_F1B	NextGEM3P	F1	B	NA
NextGEM3P_F5A	15000	1820	4666	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	17500	1916	5013	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	20000	1994	5301	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	22500	2059	5546	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	1000	372	589	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	2500	720	1363	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	5000	1090	2342	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	7500	1354	3119	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	10000	1550	3742	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	12500	1701	4249	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	25000	2115	5758	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5A	0	0	0	NextGEM_F5A	NextGEM3P	F5	A	NA
NextGEM3P_F5B	5000	1093	2272	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	7500	1354	3013	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	22500	2040	5311	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	25000	2094	5513	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	15000	1810	4479	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	17500	1902	4803	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	10000	1547	3608	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	12500	1693	4085	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	1000	375	578	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	2500	724	1328	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	20000	1977	5076	NextGEM_F5B	NextGEM3P	F5	B	NA
NextGEM3P_F5B	0	0	0	NextGEM_F5B	NextGEM3P	F5	B	NA
Parse_v3_F1A	18301	1591	2849	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	1045	226	262	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	2614	488	620	B2-PA-F1A	Parse_v3	F1	A	NA
